paper_id,dimension,marked_not_applicable_or_no_evidence,relevant_passage_located,span_1_location,span_2_present,span_2_location,chars_quoted,adjudicated_gold,pipeline_risk
paper_01,parallel_trends,yes,no,,no,,0,high,unknown
paper_01,no_anticipation,no,yes,"Introduction, pp. 1–3",yes,Sections 3–4,182,medium,unknown
paper_01,treatment_timing,no,yes,Section 4 and regression tables,yes,"Table 8 discussion, p. 18",199,low,unknown
paper_01,treatment_definition_sutva,no,yes,Introduction and Section 4,yes,Sections 4.2–4.3,240,medium,unknown
paper_01,control_group,no,yes,Section 4,yes,Section 4 and robustness analysis,204,medium,unknown
paper_01,specification,no,yes,Section 4,yes,Table 8,210,medium,high
paper_01,inference,no,yes,"Regression tables, around pp. 14–15",yes,"Table 6 notes, p. 16",133,medium,high
paper_01,sample_period,no,yes,Introduction and Sections 2–4,yes,Abstract and Section 3,188,medium,high
paper_01,concurrent_policies,no,yes,"Introduction, pp. 2–3",yes,Section 4,226,medium,unknown
paper_01,robustness_placebo,no,yes,Table 8 and Section 4,yes,Sections 4.2–4.3,206,medium,unknown
paper_01,data_measurement,no,yes,Section 2,yes,"Section 2, p. 3",248,medium,medium
paper_03,parallel_trends,no,yes,"Introduction, p. 2; dynamic tests in the results section",yes,Dynamic DID analysis,195,low,medium
paper_03,no_anticipation,no,yes,Dynamic DID analysis,no,,103,medium,medium
paper_03,treatment_timing,no,yes,Introduction and policy background,yes,"Introduction, p. 2",228,medium,high
paper_03,treatment_definition_sutva,no,yes,Introduction and institutional background,yes,Mechanism analysis,246,medium,high
paper_03,control_group,no,yes,Empirical design section,yes,Main regressions,223,medium,unknown
paper_03,specification,no,yes,Introduction and empirical results,yes,Results and mechanism sections,226,medium,high
paper_03,inference,no,yes,Main regression table notes,no,,117,high,high
paper_03,sample_period,no,yes,Data and empirical design sections,yes,"Introduction, p. 2",180,medium,high
paper_03,concurrent_policies,no,yes,Introduction and baseline specifications,yes,"Introduction, p. 2",227,low,high
paper_03,robustness_placebo,no,yes,"Introduction, p. 2; robustness section",yes,Placebo results,191,low,unknown
paper_03,data_measurement,no,yes,Data section,yes,Mechanism sections,248,low,high
paper_07,parallel_trends,no,yes,Abstract and results on normal economic times,yes,Sections V–VI,257,low,unknown
paper_07,no_anticipation,no,yes,"Research design, pp. 3–4",no,,114,low,high
paper_07,treatment_timing,no,yes,Abstract and research design,yes,Introduction and results,186,low,unknown
paper_07,treatment_definition_sutva,no,yes,"Research design, p. 4",yes,"Introduction, p. 5",234,medium,high
paper_07,control_group,no,yes,"Research design, p. 4",yes,Econometric specification,188,low,high
paper_07,specification,no,yes,Econometric models section,yes,Results section,203,low,high
paper_07,inference,no,yes,Main result tables,yes,"Introduction, pp. 4–5",191,medium,unknown
paper_07,sample_period,no,yes,Abstract and introduction,yes,"Introduction, p. 4",174,low,high
paper_07,concurrent_policies,no,yes,"Introduction, p. 3",yes,"Research design, p. 4",263,low,unknown
paper_07,robustness_placebo,no,yes,Abstract and results,yes,Introduction footnote and robustness sections,205,low,unknown
paper_07,data_measurement,no,yes,Abstract and data section,yes,Introduction footnote,268,low,medium
paper_08,parallel_trends,yes,no,,no,,0,medium,unknown
paper_08,no_anticipation,no,yes,Introduction and sample design,no,,149,low,unknown
paper_08,treatment_timing,no,yes,Abstract and data section,yes,Empirical results,236,low,unknown
paper_08,treatment_definition_sutva,no,yes,Introduction and empirical design,yes,"Introduction, pp. 5–6",260,medium,unknown
paper_08,control_group,no,yes,"Introduction, pp. 5–6",yes,Empirical design,221,medium,unknown
paper_08,specification,no,yes,Empirical design,yes,Robustness analysis,194,low,medium
paper_08,inference,no,yes,Main results tables,no,,121,low,unknown
paper_08,sample_period,no,yes,"Data section, p. 6",yes,Sample design and robustness analysis,194,low,medium
paper_08,concurrent_policies,no,yes,Empirical design,yes,Introduction and robustness sections,232,medium,high
paper_08,robustness_placebo,no,yes,Empirical design and results,yes,Robustness sections,204,medium,unknown
paper_08,data_measurement,no,yes,"Data section, p. 6",yes,Empirical design,216,low,high
paper_10,parallel_trends,no,yes,DID design and dynamic tests,yes,"Introduction, p. 3; phase-in test",246,low,high
paper_10,no_anticipation,no,yes,"Introduction, pp. 2–3",yes,Identification tests,178,medium,medium
paper_10,treatment_timing,no,yes,"Introduction, p. 3",yes,"Phase-in analysis, around p. 27",199,low,high
paper_10,treatment_definition_sutva,no,yes,DID methodology,yes,Phase-in analysis,205,medium,high
paper_10,control_group,no,yes,"Matching procedure, around pp. 17–21",yes,Phase-in analysis,228,low,low
paper_10,specification,no,yes,Empirical design and main tables,yes,Main results,221,low,high
paper_10,inference,no,yes,"Main regression discussion, around p. 12",yes,Main regression tables,181,low,medium
paper_10,sample_period,no,yes,Introduction and data section,yes,Phase-in analysis,227,low,high
paper_10,concurrent_policies,no,yes,"Identification discussion, around p. 25",yes,Falsification and robustness tests,221,low,high
paper_10,robustness_placebo,no,yes,Introduction and identification tests,yes,"Robustness section, around p. 25",223,low,unknown
paper_10,data_measurement,no,yes,Data and robustness sections,yes,Abstract and introduction,196,low,high
