paper_id,dimension,risk,original_risk,calibration_rule,evidence_status,retrieval_quality,rationale
paper_01,parallel_trends,unknown,unknown,unchanged,missing,failed,Retrieval did not surface evidence relevant to this dimension; the system cannot assess it reliably (not a claim that the paper lacks the evidence).
paper_01,no_anticipation,unknown,unknown,unchanged,missing,failed,Retrieval did not surface evidence relevant to this dimension; the system cannot assess it reliably (not a claim that the paper lacks the evidence).
paper_01,treatment_timing,unknown,unknown,unchanged,missing,failed,Retrieval did not surface evidence relevant to this dimension; the system cannot assess it reliably (not a claim that the paper lacks the evidence).
paper_01,treatment_definition_sutva,unknown,unknown,unchanged,missing,failed,Retrieval did not surface evidence relevant to this dimension; the system cannot assess it reliably (not a claim that the paper lacks the evidence).
paper_01,control_group,unknown,unknown,unchanged,missing,failed,Retrieval did not surface evidence relevant to this dimension; the system cannot assess it reliably (not a claim that the paper lacks the evidence).
paper_01,specification,medium,high,weak_retrieval_high_to_medium,missing,weak,"The evidence provided does not include a specification-curve or robustness table that would demonstrate the stability of results across different reasonable specification choices. The table focuses on the relationship between drawdowns and exposure to Lehman, but does not address the robustness of the estimating equation or justify the inclusion of time-varying controls, which are crucial for assessing the correct specification of the model."
paper_01,inference,medium,high,inference_reporting_gap_high_to_medium,missing,good,"The paper mentions robust standard errors and clustering at the bank level, but it does not provide information on the number of clusters or use of wild-cluster bootstrap methods, which are crucial when dealing with few clusters to ensure accurate inference."
paper_01,sample_period,medium,high,weak_retrieval_high_to_medium,missing,weak,"The paper does not provide any sensitivity analysis regarding the choice of sample frame or time window, nor does it discuss the treatment of entry/exit or unbalanced panels. The summary statistics and regression tables do not address these issues, leaving the assumption unsupported."
paper_01,concurrent_policies,unknown,unknown,unchanged,missing,failed,Retrieval did not surface evidence relevant to this dimension; the system cannot assess it reliably (not a claim that the paper lacks the evidence).
paper_01,robustness_placebo,unknown,unknown,unchanged,missing,failed,Retrieval did not surface evidence relevant to this dimension; the system cannot assess it reliably (not a claim that the paper lacks the evidence).
paper_01,data_measurement,medium,medium,unchanged,partial,weak,"The paper provides a detailed description of the data source and its coverage, highlighting differences with another dataset (FRB) and addressing a potential reporting delay issue. However, it lacks explicit discussion on how measurement consistency is maintained across units and time, particularly regarding any changes in data collection or reporting practices over the study period."
paper_03,parallel_trends,medium,medium,unchanged,partial,good,"The paper discusses examining pre-existing trends by decomposing the RSindex into time periods around deregulation and focuses on coefficients for periods before deregulation. However, it does not explicitly report statistical tests or plots showing that pre-treatment trends are statistically indistinguishable, which is crucial for supporting the parallel trends assumption."
paper_03,no_anticipation,medium,medium,unchanged,partial,weak,"The paper discusses examining the dynamics of innovation surrounding deregulatory events and decomposes the RSindex into periods around deregulation, but it does not explicitly report null results for leads in an event study format. The description suggests an attempt to check for pre-existing trends, but without clear evidence of null leads, the no anticipation assumption is only partially supported."
paper_03,treatment_timing,medium,high,modern_did_standard_high_to_medium,missing,good,"The paper does not provide evidence of using modern estimators like Callaway-Sant'Anna or Sun-Abraham, nor does it mention a Goodman-Bacon decomposition or clear adoption-date coding. The discussion focuses on endogeneity and reverse causality concerns, but does not address the potential contamination of two-way fixed-effects estimates by forbidden comparisons in staggered adoption settings."
paper_03,treatment_definition_sutva,medium,high,weak_retrieval_high_to_medium,missing,weak,"The evidence provided in Table 7 focuses on banking relationships and does not address potential spillovers or indirect exposure between treated and control units. There is no discussion of spatial spillover effects or checks for cross-province leakage, which are necessary to support the assumption of no interference between units."
paper_03,control_group,unknown,unknown,unchanged,missing,failed,Retrieval did not surface evidence relevant to this dimension; the system cannot assess it reliably (not a claim that the paper lacks the evidence).
paper_03,specification,medium,high,weak_retrieval_high_to_medium,missing,weak,"The paper does not provide any evidence of specification robustness checks, such as a specification-curve or robustness table, nor does it justify the inclusion of time-varying controls to address bad-control risk. The discussion focuses on potential omitted variable and reverse causality issues without demonstrating stability across different specifications."
paper_03,inference,high,high,unchanged,flawed,good,"The paper reports clustering of standard errors by year, which is inappropriate given the firm-year and state-year levels of the data, potentially leading to understated standard errors. Additionally, there is no mention of using wild-cluster bootstrap methods despite the potential issue of having few clusters, especially at the year level."
paper_03,sample_period,medium,high,weak_retrieval_high_to_medium,missing,weak,"The provided evidence does not address the sensitivity of the estimates to changes in the sample frame or time window. There is no discussion or analysis of how the results might vary with different start or end periods, nor is there any consideration of entry/exit or unbalanced panels."
paper_03,concurrent_policies,medium,high,weak_retrieval_high_to_medium,missing,weak,The paper does not provide any enumeration of co-timed policies or controls for concurrent interventions that could confound the effect of banking competition on innovation. The discussion focuses on omitted variables and reverse causality but does not address other policies that might coincide with the treatment period.
paper_03,robustness_placebo,unknown,unknown,unchanged,missing,failed,Retrieval did not surface evidence relevant to this dimension; the system cannot assess it reliably (not a claim that the paper lacks the evidence).
paper_03,data_measurement,medium,high,weak_retrieval_high_to_medium,missing,weak,"The paper provides variable definitions and regression results, but it lacks any discussion or evidence regarding the consistency of measurement across units and time, or how potential changes in data reporting or missingness are handled."
paper_07,parallel_trends,unknown,unknown,unchanged,missing,failed,Retrieval did not surface evidence relevant to this dimension; the system cannot assess it reliably (not a claim that the paper lacks the evidence).
paper_07,no_anticipation,medium,high,weak_retrieval_high_to_medium,missing,weak,"The paper does not provide any evidence related to the no anticipation assumption, such as null leads in an event study or a timeline of policy announcement versus implementation. The abstract only discusses the effects post-crisis without addressing pre-treatment behavior."
paper_07,treatment_timing,unknown,unknown,unchanged,missing,failed,Retrieval did not surface evidence relevant to this dimension; the system cannot assess it reliably (not a claim that the paper lacks the evidence).
paper_07,treatment_definition_sutva,medium,high,weak_retrieval_high_to_medium,missing,weak,"The paper does not provide any direct evidence or discussion regarding the absence of spillovers or indirect exposure to treatment, such as cross-province leakage or spatial spillover checks. The focus is on lending shocks and their direct effects, without addressing potential interference between treated and control units."
paper_07,control_group,medium,high,weak_retrieval_high_to_medium,missing,weak,The evidence provided does not include a balance table or any justification for the comparability of pre-treatment levels and composition between treated and control groups. The section focuses on the predictive power of a lending shock measure rather than establishing the comparability of the groups.
paper_07,specification,medium,high,weak_retrieval_high_to_medium,missing,weak,"The paper lacks a specification-curve or robustness table that would demonstrate the stability of results across different reasonable specification choices. The evidence provided focuses on the relationship between predicted lending shocks and economic activity, but does not address the robustness of the estimating equation to different functional forms or control sets."
