paper_id,title,dimension,dimension_name,assumption,applicability,evidence_risk,evidence_span,evidence_location,confidence,notes
paper_120,The Impacts of Environmental Regulations on Industrial Activity,parallel_trends,Parallel trends (pre-treatment),"Absent treatment, treated and control units would have followed the same outcome trend.
",,,,,,
paper_120,The Impacts of Environmental Regulations on Industrial Activity,no_anticipation,No anticipation,"Units do not change behaviour in anticipation of the policy before it takes effect.
",,,,,,
paper_120,The Impacts of Environmental Regulations on Industrial Activity,treatment_timing,Treatment timing / staggered adoption,"Treatment timing is correctly coded; staggered adoption is handled with an estimator robust to heterogeneous, time-varying effects.
",,,,,,
paper_120,The Impacts of Environmental Regulations on Industrial Activity,treatment_definition_sutva,Treatment definition & SUTVA / spillovers,"Treatment is well defined and there is no interference between units (no spillovers from treated to control).
",,,,,,
paper_120,The Impacts of Environmental Regulations on Industrial Activity,control_group,Control group construction,"The control group is a credible counterfactual for the treated units.
",,,,,,
paper_120,The Impacts of Environmental Regulations on Industrial Activity,specification,Functional form & specification,"The estimating equation (fixed effects, controls, functional form) is correctly specified.
",,,,,,
paper_120,The Impacts of Environmental Regulations on Industrial Activity,inference,Inference (standard errors),"Standard errors account for the dependence structure of the data.
",,,,,,
paper_120,The Impacts of Environmental Regulations on Industrial Activity,sample_period,Sample & period selection,"Sample frame and time window are not chosen in a way that drives the result.
",,,,,,
paper_120,The Impacts of Environmental Regulations on Industrial Activity,concurrent_policies,Concurrent / confounding policies,"No other policy coincident with treatment explains the outcome change.
",,,,,,
paper_120,The Impacts of Environmental Regulations on Industrial Activity,robustness_placebo,Robustness & placebo tests,"The headline effect survives placebo and falsification checks.
",,,,,,
paper_120,The Impacts of Environmental Regulations on Industrial Activity,data_measurement,Data quality & measurement,"The outcome and treatment variables are measured consistently across units and time.
",,,,,,
paper_126,Do Consumers Respond to Marginal or Average Price? Evidence from Nonlinear Elect,parallel_trends,Parallel trends (pre-treatment),"Absent treatment, treated and control units would have followed the same outcome trend.
",,,,,,
paper_126,Do Consumers Respond to Marginal or Average Price? Evidence from Nonlinear Elect,no_anticipation,No anticipation,"Units do not change behaviour in anticipation of the policy before it takes effect.
",,,,,,
paper_126,Do Consumers Respond to Marginal or Average Price? Evidence from Nonlinear Elect,treatment_timing,Treatment timing / staggered adoption,"Treatment timing is correctly coded; staggered adoption is handled with an estimator robust to heterogeneous, time-varying effects.
",,,,,,
paper_126,Do Consumers Respond to Marginal or Average Price? Evidence from Nonlinear Elect,treatment_definition_sutva,Treatment definition & SUTVA / spillovers,"Treatment is well defined and there is no interference between units (no spillovers from treated to control).
",,,,,,
paper_126,Do Consumers Respond to Marginal or Average Price? Evidence from Nonlinear Elect,control_group,Control group construction,"The control group is a credible counterfactual for the treated units.
",,,,,,
paper_126,Do Consumers Respond to Marginal or Average Price? Evidence from Nonlinear Elect,specification,Functional form & specification,"The estimating equation (fixed effects, controls, functional form) is correctly specified.
",,,,,,
paper_126,Do Consumers Respond to Marginal or Average Price? Evidence from Nonlinear Elect,inference,Inference (standard errors),"Standard errors account for the dependence structure of the data.
",,,,,,
paper_126,Do Consumers Respond to Marginal or Average Price? Evidence from Nonlinear Elect,sample_period,Sample & period selection,"Sample frame and time window are not chosen in a way that drives the result.
",,,,,,
paper_126,Do Consumers Respond to Marginal or Average Price? Evidence from Nonlinear Elect,concurrent_policies,Concurrent / confounding policies,"No other policy coincident with treatment explains the outcome change.
",,,,,,
